date,up_count,down_count,flat_count,limit_up,limit_down,red_ratio,touch_down,zt_fail_count,hb_wave10,median_chg,avg_price,connect_hl,connect_2b,fc_ratio,zt_fail_ratio,zt_prev_ret
2007-01-05,932.0,118.0,33.0,35.0,2.0,88.76190476190476,,,,,,,,,,
2007-01-08,1067.0,36.0,9.0,58.0,0.0,96.73617407071625,,,,,,,,,,
2007-01-09,882.0,109.0,130.0,24.0,0.0,89.00100908173562,,,,,,,,,,
2007-01-10,974.0,97.0,58.0,38.0,0.0,90.94304388422036,,,,,,,,,,
2007-01-11,604.0,455.0,77.0,22.0,0.0,57.03493862134089,,,,,,,,,,
2007-01-12,171.0,927.0,29.0,11.0,7.0,15.57377049180328,,,,,,,,,,
2007-01-15,1103.0,8.0,7.0,107.0,1.0,99.27992799279929,,,,,,,,,,
2007-01-16,900.0,161.0,76.0,70.0,0.0,84.82563619227145,,,,,,,,,,
2007-01-17,424.0,679.0,43.0,35.0,23.0,38.44061650045331,,,,,,,,,,
2007-01-18,890.0,209.0,42.0,53.0,2.0,80.98271155595997,,,,,,,,,,
2007-01-19,1051.0,60.0,25.0,57.0,0.0,94.5994599459946,,,,,,,,,,
2007-01-22,1105.0,16.0,10.0,119.0,0.0,98.57270294380018,,,,,,,,,,
2007-01-23,482.0,609.0,52.0,45.0,3.0,44.17965169569202,,,,,,,,,,
2007-01-24,611.0,443.0,92.0,29.0,1.0,57.9696394686907,,,,,,,,,,
2007-01-25,136.0,982.0,16.0,12.0,21.0,12.164579606440071,,,,,,,,,,
2007-01-26,526.0,523.0,89.0,33.0,0.0,50.14299332697807,,,,,,,,,,
2007-01-29,1032.0,82.0,20.0,69.0,0.0,92.63913824057452,,,,,,,,,,
2007-01-30,434.0,663.0,54.0,31.0,2.0,39.56244302643574,,,,,,,,,,
2007-01-31,118.0,1017.0,18.0,9.0,62.0,10.396475770925113,,,,,,,,,,
2007-02-01,621.0,448.0,83.0,32.0,0.0,58.09167446211413,,,,,,,,,,
2007-02-02,269.0,811.0,67.0,10.0,15.0,24.90740740740741,,,,,,,,,,
2007-02-05,778.0,283.0,74.0,23.0,11.0,73.32704995287465,,,,,,,,,,
2007-02-06,932.0,185.0,35.0,21.0,2.0,83.43777976723366,,,,,,,,,,
2007-02-07,788.0,239.0,127.0,31.0,0.0,76.72833495618305,,,,,,,,,,
2007-02-08,866.0,210.0,73.0,33.0,0.0,80.48327137546468,,,,,,,,,,
2007-02-09,516.0,554.0,75.0,11.0,1.0,48.22429906542056,,,,,,,,,,
2007-02-12,1038.0,66.0,36.0,27.0,0.0,94.02173913043478,,,,,,,,,,
2007-02-13,832.0,208.0,115.0,28.0,0.0,80.0,,,,,,,,,,
2007-02-14,964.0,114.0,81.0,41.0,0.0,89.42486085343229,,,,,,,,,,
2007-02-15,1091.0,41.0,29.0,62.0,1.0,96.37809187279152,,,,,,,,,,
2007-02-16,679.0,410.0,82.0,43.0,1.0,62.35078053259871,,,,,,,,,,
2007-02-26,1017.0,129.0,18.0,110.0,0.0,88.7434554973822,,,,,,,,,,
2007-02-27,44.0,1115.0,2.0,3.0,792.0,3.7963761863675582,,,,,,,,,,
2007-02-28,1049.0,85.0,15.0,175.0,0.0,92.50440917107584,,,,,,,,,,
2007-03-01,328.0,835.0,6.0,30.0,10.0,28.20292347377472,,,,,,,,,,
2007-03-02,887.0,227.0,45.0,37.0,2.0,79.6229802513465,,,,,,,,,,
2007-03-05,525.0,589.0,41.0,20.0,1.0,47.127468581687616,,,,,,,,,,
2007-03-06,583.0,490.0,79.0,9.0,0.0,54.333643988816405,,,,,,,,,,
2007-03-07,1070.0,56.0,45.0,22.0,0.0,95.0266429840142,,,,,,,,,,
2007-03-08,1000.0,109.0,57.0,26.0,0.0,90.17132551848512,,,,,,,,,,
2007-03-09,468.0,644.0,51.0,32.0,0.0,42.086330935251794,,,,,,,,,,
2007-03-12,866.0,255.0,37.0,56.0,0.0,77.25245316681534,,,,,,,,,,
2007-03-13,762.0,338.0,66.0,34.0,0.0,69.27272727272728,,,,,,,,,,
2007-03-14,419.0,734.0,16.0,35.0,1.0,36.33998265394623,,,,,,,,,,
2007-03-15,954.0,153.0,60.0,46.0,0.0,86.1788617886179,,,,,,,,,,
2007-03-16,275.0,857.0,31.0,14.0,1.0,24.29328621908128,,,,,,,,,,
2007-03-19,658.0,406.0,96.0,37.0,1.0,61.8421052631579,,,,,,,,,,
2007-03-20,944.0,171.0,42.0,39.0,0.0,84.66367713004485,,,,,,,,,,
2007-03-21,879.0,228.0,61.0,26.0,0.0,79.40379403794037,,,,,,,,,,
2007-03-22,560.0,542.0,67.0,20.0,0.0,50.81669691470054,,,,,,,,,,
2007-03-23,736.0,377.0,47.0,24.0,0.0,66.12758310871519,,,,,,,,,,
2007-03-26,986.0,137.0,28.0,40.0,0.0,87.80053428317008,,,,,,,,,,
2007-03-27,758.0,331.0,80.0,32.0,0.0,69.60514233241506,,,,,,,,,,
2007-03-28,287.0,853.0,22.0,29.0,0.0,25.17543859649123,,,,,,,,,,
2007-03-29,160.0,990.0,15.0,8.0,9.0,13.91304347826087,,,,,,,,,,
2007-03-30,818.0,280.0,71.0,13.0,0.0,74.4990892531876,,,,,,,,,,
2007-04-02,1068.0,74.0,30.0,30.0,0.0,93.5201401050788,,,,,,,,,,
2007-04-03,812.0,271.0,90.0,30.0,0.0,74.97691597414588,,,,,,,,,,
2007-04-04,683.0,425.0,74.0,27.0,0.0,61.64259927797834,,,,,,,,,,
2007-04-05,891.0,218.0,71.0,27.0,2.0,80.34265103697025,,,,,,,,,,
2007-04-06,773.0,316.0,70.0,26.0,1.0,70.98255280073462,,,,,,,,,,
2007-04-09,870.0,243.0,54.0,43.0,1.0,78.16711590296495,,,,,,,,,,
2007-04-10,553.0,577.0,40.0,32.0,0.0,48.93805309734513,,,,,,,,,,
2007-04-11,664.0,457.0,57.0,44.0,0.0,59.2328278322926,,,,,,,,,,
2007-04-12,977.0,151.0,37.0,53.0,0.0,86.61347517730496,,,,,,,,,,
2007-04-13,436.0,709.0,25.0,26.0,1.0,38.07860262008734,,,,,,,,,,
2007-04-16,1103.0,39.0,20.0,46.0,0.0,96.58493870402802,,,,,,,,,,
2007-04-17,843.0,295.0,41.0,85.0,0.0,74.07732864674868,,,,,,,,,,
2007-04-18,874.0,233.0,41.0,59.0,1.0,78.95212285456188,,,,,,,,,,
2007-04-19,155.0,992.0,5.0,12.0,62.0,13.513513513513514,,,,,,,,,,
2007-04-20,1140.0,6.0,3.0,94.0,0.0,99.47643979057592,,,,,,,,,,
2007-04-23,1080.0,79.0,4.0,102.0,0.0,93.18377911993096,,,,,,,,,,
2007-04-24,582.0,527.0,52.0,50.0,0.0,52.479711451758334,,,,,,,,,,
2007-04-25,397.0,711.0,33.0,25.0,1.0,35.83032490974729,,,,,,,,,,
2007-04-26,740.0,329.0,48.0,30.0,1.0,69.22357343311506,,,,,,,,,,
2007-04-27,408.0,697.0,20.0,32.0,5.0,36.92307692307693,,,,,,,,,,
2007-04-30,619.0,466.0,33.0,84.0,3.0,57.05069124423963,,,,,,,,,,
2007-05-08,1063.0,77.0,16.0,150.0,0.0,93.24561403508773,,,,,,,,,,
2007-05-09,467.0,673.0,17.0,51.0,0.0,40.96491228070175,,,,,,,,,,
2007-05-10,676.0,403.0,52.0,28.0,1.0,62.65060240963856,,,,,,,,,,
2007-05-11,412.0,688.0,12.0,23.0,0.0,37.45454545454546,,,,,,,,,,
2007-05-14,560.0,543.0,41.0,33.0,0.0,50.77062556663645,,,,,,,,,,
2007-05-15,251.0,855.0,23.0,21.0,12.0,22.69439421338156,,,,,,,,,,
2007-05-16,1023.0,102.0,13.0,43.0,0.0,90.93333333333334,,,,,,,,,,
2007-05-17,1061.0,72.0,29.0,39.0,0.0,93.6451897616946,,,,,,,,,,
2007-05-18,526.0,532.0,28.0,34.0,0.0,49.7164461247637,,,,,,,,,,
2007-05-21,933.0,192.0,33.0,75.0,0.0,82.93333333333334,,,,,,,,,,
2007-05-22,851.0,271.0,30.0,54.0,0.0,75.84670231729055,,,,,,,,,,
2007-05-23,1004.0,114.0,33.0,61.0,0.0,89.80322003577818,,,,,,,,,,
2007-05-24,342.0,801.0,10.0,44.0,0.0,29.92125984251969,,,,,,,,,,
2007-05-25,712.0,357.0,56.0,43.0,0.0,66.60430308699719,,,,,,,,,,
2007-05-28,942.0,170.0,29.0,56.0,0.0,84.71223021582733,,,,,,,,,,
2007-05-29,802.0,306.0,44.0,50.0,0.0,72.3826714801444,,,,,,,,,,
2007-05-30,55.0,1094.0,2.0,8.0,785.0,4.786771105308964,,,,,,,,,,
2007-05-31,311.0,850.0,6.0,36.0,290.0,26.78725236864772,,,,,,,,,,
2007-06-01,132.0,1031.0,10.0,6.0,627.0,11.349957007738606,,,,,,,,,,
2007-06-04,20.0,1152.0,0.0,1.0,809.0,1.706484641638225,,,,,,,,,,
2007-06-05,631.0,528.0,20.0,77.0,36.0,54.44348576358931,,,,,,,,,,
2007-06-06,761.0,362.0,54.0,57.0,0.0,67.76491540516474,,,,,,,,,,
2007-06-07,1111.0,67.0,2.0,141.0,1.0,94.31239388794566,,,,,,,,,,
2007-06-08,780.0,324.0,65.0,49.0,0.0,70.65217391304348,,,,,,,,,,
2007-06-11,823.0,325.0,36.0,86.0,0.0,71.68989547038328,,,,,,,,,,
2007-06-12,808.0,348.0,24.0,120.0,1.0,69.8961937716263,,,,,,,,,,
2007-06-13,1006.0,151.0,19.0,128.0,0.0,86.94900605012964,,,,,,,,,,
2007-06-14,329.0,830.0,28.0,21.0,0.0,28.386540120793786,,,,,,,,,,
2007-06-15,465.0,677.0,27.0,45.0,0.0,40.71803852889667,,,,,,,,,,
